"Trial","Year","AgeBucket","Age","Female","Male"
1,2026,1,53,18,22
1,2026,1,54,17,20
1,2026,1,55,16,19
1,2026,1,56,16,18
1,2026,1,57,15,17
1,2026,1,58,14,16
1,2026,1,59,13,15
1,2026,1,60,12,14
1,2026,1,61,12,13
1,2026,1,62,11,12
1,2026,1,63,10,12
1,2026,1,64,9,11
1,2026,1,65,9,10
1,2026,1,66,8,9
1,2026,1,67,7,8
1,2026,1,68,7,8
1,2026,1,69,6,7
1,2026,1,70,6,6
1,2026,1,71,5,6
1,2026,1,72,5,5
1,2026,1,73,4,5
1,2026,1,74,4,4
1,2026,1,75,4,4
1,2026,1,76,3,4
1,2026,1,77,3,3
1,2026,1,78,3,3
1,2026,1,79,2,3
1,2026,1,80,2,3
1,2026,1,81,2,3
1,2026,1,82,2,2
1,2026,1,83,2,2
1,2026,1,84,1,2
1,2026,1,85,1,2
1,2026,1,86,1,2
1,2026,1,87,1,2
1,2026,1,88,1,2
1,2026,1,89,1,2
1,2026,1,90,1,2
1,2026,1,91,1,2
1,2026,1,92,1,2
1,2026,1,93,1,2
1,2026,1,94,1,2
1,2026,1,95,1,2
1,2026,1,96,1,2
1,2026,1,97,0,2
1,2026,1,98,0,2
1,2026,1,99,0,2
1,2026,1,100,0,2
1,2027,1,0,110,111
1,2027,1,1,102,102
1,2027,1,2,95,95
1,2027,1,3,94,94
1,2027,1,4,88,86
1,2027,1,5,92,91
1,2027,1,6,89,89
1,2027,1,7,45,43
1,2027,1,8,45,44
1,2027,1,9,44,44
1,2027,1,10,44,44
1,2027,1,11,43,44
1,2027,1,12,43,44
1,2027,1,13,42,44
1,2027,1,14,42,45
1,2027,1,15,41,45
1,2027,1,16,41,45
1,2027,1,17,40,45
1,2027,1,18,40,45
1,2027,1,19,39,45
1,2027,1,20,39,45
1,2027,1,21,38,45
1,2027,1,22,38,45
1,2027,1,23,38,45
1,2027,1,24,37,45
1,2027,1,25,37,45
1,2027,1,26,36,45
1,2027,1,27,36,44
1,2027,1,28,35,44
1,2027,1,29,34,44
1,2027,1,30,34,43
1,2027,1,31,33,43
1,2027,1,32,33,42
1,2027,1,33,32,42
1,2027,1,34,32,41
1,2027,1,35,31,40
1,2027,1,36,31,39
1,2027,1,37,30,39
1,2027,1,38,29,38
1,2027,1,39,29,37
